SMILES,logP,MW
CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,4.85,416.56
CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C1C,2.98,398.48
Nc1ccc2cc3ccc(N)cc3nc2c1,2.55,209.25
Cc1cc(O)c2ccccc2c1O,2.56,174.2
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,2.55,273.24
Cc1cc(=O)oc2cc(O)ccc12,1.81,176.17
CCCCCCCCCCCCCCCC[N+](C)(C)C,6.17,284.55
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,6.96,332.6
CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,5.6,353.49
Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,6.64,411.79
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,5.23,364.53
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,5.19,310.4
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,6.33,470.61
CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,3.66,356.49
CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,4.83,340.49
C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1,3.87,321.47
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.95,407.51
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,3.79,411.5
O=c1[nH]sc2cc(Cl)ccc12,2.24,185.64
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.89,382.89
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,6.45,416.14
CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,5.19,315.87
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.88,280.42
CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.47,421.49
O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,4.76,411.87
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.58,373.95
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,6.1,348.49
CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N/Nc1cccc(-c2cccc(C(=O)O)c2)c1O,4.56,442.48
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,4.4,332.48
Oc1c(Cl)cc(Cl)c2cccnc12,3.25,214.05
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,2.85,267.33
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.94,403.98
O=[N+]([O-])c1ccc(O)c2ncccc12,1.85,190.16
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.8,381.69
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,4.31,284.44
CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,5.68,407.58
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,6.28,423.73
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,4.71,369.51
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,3.31,488.02
CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,4.34,410.56
CCN(CC)CCSC(=O)C(c1ccccc1)c1ccccc1,4.42,327.49
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,-0.35,444.44
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,-0.21,444.44
Nc1cc(C(F)(F)F)ccc1S,2.58,193.19
O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,4.34,397.48
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,2.57,424.5
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,6.61,406.91
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,5.14,289.54
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,5.29,315.59
C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,5.18,440.41
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.72,326.83
CNCCCCOc1ccccc1Cc1ccccc1,3.66,269.39
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,4.94,480.65
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,-1.65,334.33
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.27,454.45
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,2.73,320.34
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.81,352.77
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,1.04,281.35
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,3.81,412.95
O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,4.13,426.56
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,3.41,392.5
Cc1ccc2c(Br)cc(Br)c(O)c2n1,3.77,316.98
[O-][S+](c1cc(Cl)cc(Cl)c1O)c1cc(Cl)cc(Cl)c1O,4.88,372.06
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.7,387.52
O=C1c2ccccc2C(=O)C1c1ccc(Br)cc1,3.61,301.14
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.66,386.53
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4.52,316.49
CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,4.84,323.44
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,4.59,418.57
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,3.72,316.38
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,4.83,366.55
CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,5.65,354.49
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,5.77,361.48
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,5.5,404.34
CCC(CN)=C(c1ccccc1)c1ccccc1,3.86,237.35
Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,4.93,329.87
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,3.3,401.85
COc1cccc(C(=O)CCN[C@@H](C)[C@H](O)c2ccccc2)c1,2.98,313.4
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,4.08,351.37
CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,4.91,305.42
Cc1c(C)n(CCN(C)C)c2ccc(C(=O)OCCN(C)C)cc12,2.54,331.46
Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)OCCN(C)C)cc12,4.02,350.46
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,2.41,414.41
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.59,493.62
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,1.72,451.48
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,4.28,437.15
Cc1nc2n(c(=O)c1CCN1CCC(C(=O)c3ccc(F)cc3)CC1)CCS2,2.93,401.51
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.51,381.38
CN1Cc2cc(C(=O)N3CCC(C4CCNCC4)CC3)ccc2N[C@@H](CC(=O)O)C1=O,1.77,428.53
O=C(CCN1CCC(c2ccccc2)C1)c1ccc2c(c1)OCCO2,3.52,337.42
CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,2.1,398.55
O=C(N/N=C/c1ccccc1O)c1ccncc1,1.55,241.25
O=C(CCCCCCC(=O)Nc1ccccc1)NO,2.47,264.33
Nc1ccc(C(=O)Nc2ccccc2N)cc1,2.1,227.27
C[C@@H](CN(C)C)CN1c2ccccc2Sc2ccccc21,4.49,298.46
O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,3.71,373.37
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,-2.68,393.35
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,3.24,265.34
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,4.06,403.53
CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,3.77,294.4
C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,4.31,366.5
CC1(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)OCc2ccccc2-n2cccc21,4.2,428.54
C[C@@]12C(=O)OC(=O)[C@]1(C)C1CCC2O1,0.64,196.2
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,3.66,310.44
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,4.13,297.19
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,3.04,250.2
CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,3.01,408.36
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,2.84,308.35
Oc1ccc(Cl)cc1Cc1ccccc1,3.64,218.68
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1,3.55,458.55
Oc1c(Br)cc(Br)cc1Br,3.68,330.8
CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,4.12,334.26
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,5.76,350.46
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.08,344.5
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,5.3,364.44
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,2.56,441.52
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,4.88,291.44
CC(C)CCCC(C)N,2.16,129.25
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,4.25,280.32
CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,4.36,377.53
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,4.19,303.83
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,2.97,418.45
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],3.2,388.42
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,3.96,384.26
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,3.07,490.63
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,4.95,307.42
Cc1ccc(CCn2c3c(c4cc(Cl)ccc42)CN(C)CC3)cn1,4.23,339.87
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,1.67,267.31
Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1,3.48,338.4
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,3.24,341.45
C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,4.85,449.64
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,3.92,289.42
Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,4.21,372.43
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,3.55,470.02
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,4.36,379.5
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,4.32,325.77
CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC,3.15,304.39
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.22,291.38
Clc1ccc2c(c1)Nc1ccccc1S2,4.55,233.72
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,6.49,338.99
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,3.43,313.79
CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,3.87,363.24
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,2.76,259.14
Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1,7.3,455.41
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,5.41,429.6
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,4.37,295.45
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1,4.03,372.42
N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,2.65,347.38
CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,5.35,340.42
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,4.15,281.23
N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,-0.81,240.31
Nc1ccccc1C(=O)OCC(O)CO,-0.22,211.22
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,3.14,437.53
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1.99,302.24
CCO[C@@H]1O[C@H](C(COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O,4.5,478.59
CC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,0.66,197.15
Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,3.96,454.91
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,6.36,308.51
CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21,3.74,408.46
CC=CC=NNC(=O)c1ccncc1,1.37,189.22
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,3.81,324.4
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,4.16,273.72
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,3.09,421.9
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,3.24,284.25
Cc1cccc(Nc2ccccc2C(=O)O)c1C,3.75,241.29
O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,2.44,268.27
CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2,3.07,316.43
CC(C)=C[C@@H]1[C@@H](C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,5.15,338.45
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,3.41,432.5
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,0.65,294.34
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,4.08,340.38
O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,2.93,326.44
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,2.53,312.41
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C([C@H]3CCCO3)S[C@H]12,0.37,285.32
C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,4.28,310.44
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,4.27,302.46
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1C32OO4,2.39,282.34
CCO[C@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,2.68,408.47
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,-0.79,233.24
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.16,257.44
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.79,325.19
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,2.9,336.3
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,3.04,277.41
Cc1cc(O)cc(C)c1Cl,2.66,156.61
CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,4.79,270.37
O=C(OCc1ccccc1)c1ccc(O)cc1,2.75,228.25
CC(C)NCC(O)c1ccc(O)c(O)c1,1.13,211.26
O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,1.15,278.22
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,6.13,396.57
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,3.7,330.47
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,3.51,406.36
CCCCCCCCCCCCCCNCCO,4.27,257.46
CCCCCCCCCCCCSCCOCCO,4.65,290.51
CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c2ccccc2)CCCCC1,3.49,368.5
CC(=O)CCC(=O)[O-],-0.89,115.11
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,-0.86,422.46
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,3.03,295.14
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,-2.06,470.54
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-],1.87,469.33
C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O,-2.86,299.29
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,3.53,457.69
c1ccc(CCNc2nc(-c3ccccc3)cs2)cc1,4.46,280.4
CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,3.88,270.28
C[C@@H](N)C(=O)O,-0.58,89.09
C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@@H]21,4.13,302.46
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,4.66,317.52
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,2.96,331.41
c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,3.74,220.28
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.84,330.47
C=C1C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,4.74,396.53
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.58,384.52
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-c3ccc(C(C)=O)cc3)cc2)CC1,4.9,485.63
CCOC(=O)Oc1ccc(CCNC(=O)[C@H](CCSC)NC(C)=O)cc1OC(=O)OCC,2.67,470.54
CC(=O)N[C@@H](CS)C(=O)O,-0.49,163.2
COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,0.45,250.3
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.3,220.36
CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,3.88,418.29
Cc1ccc(C(C)C)cc2c(C)ccc1-2,4.53,198.31
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,11.08,422.83
CC(C)Cn1cnc2c(N)nc3ccccc3c21,2.82,240.31
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,1.38,266.34
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,3.05,288.39
CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,6.08,328.5
